trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
635,False,"{'a': 0.25, 'e': 0.04146257532741124}",20,12,15.9164507940243,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
636,False,"{'a': 0.25, 'e': 0.04125526245077418}",20,15,5.387186584110351,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
637,False,"{'a': 0.25, 'e': 0.04104898613852031}",25,3,38.69463860663148,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
638,False,"{'a': 0.25, 'e': 0.04084374120782771}",20,0,-11.371703174503333,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",1
639,False,"{'a': 0.25, 'e': 0.04063952250178857}",30,7,-3.0517353899613813,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 1}",1
640,False,"{'a': 0.25, 'e': 0.04043632488927963}",25,3,34.48838993217321,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
641,False,"{'a': 0.25, 'e': 0.04023414326483323}",20,10,10.154779778573632,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
642,False,"{'a': 0.25, 'e': 0.040032972548509065}",25,0,34.48733284486581,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
643,False,"{'a': 0.25, 'e': 0.03983280768576652}",20,9,18.805583424974582,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
644,False,"{'a': 0.25, 'e': 0.03963364364733769}",30,0,42.18131624514947,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
645,False,"{'a': 0.25, 'e': 0.039435475429100995}",30,16,27.97974105109929,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
646,False,"{'a': 0.25, 'e': 0.03923829805195549}",20,10,2.0965675117165388,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
647,False,"{'a': 0.25, 'e': 0.03904210656169572}",25,0,36.232870922918465,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
648,False,"{'a': 0.25, 'e': 0.03884689602888724}",30,15,8.114772812729866,"{0: 14, 1: 0, 2: 0, 3: 1, 4: 0}",1
649,False,"{'a': 0.25, 'e': 0.0386526615487428}",20,3,25.343730645773928,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
650,False,"{'a': 0.25, 'e': 0.03845939824099909}",20,6,19.3610509280794,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
651,False,"{'a': 0.25, 'e': 0.03826710124979409}",25,9,19.949765027557948,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
652,False,"{'a': 0.25, 'e': 0.038075765743545126}",30,11,12.022799822691919,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
653,False,"{'a': 0.25, 'e': 0.0378853869148274}",20,11,-9.43376968002263,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 0}",1
654,False,"{'a': 0.25, 'e': 0.03769595998025326}",30,13,30.203458076165173,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
655,False,"{'a': 0.25, 'e': 0.03750748018035199}",20,0,28.848746734365545,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
656,False,"{'a': 0.25, 'e': 0.037319942779450235}",20,6,21.890586326404087,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
657,False,"{'a': 0.25, 'e': 0.037133343065552986}",25,11,21.879672302585032,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
658,False,"{'a': 0.25, 'e': 0.03694767635022522}",25,10,25.16903168800248,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
659,False,"{'a': 0.25, 'e': 0.036762937968474095}",25,15,18.609827732412107,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
660,False,"{'a': 0.25, 'e': 0.03657912327863173}",20,0,26.80952999975789,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
661,False,"{'a': 0.25, 'e': 0.036396227662238566}",20,14,10.879662715412426,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
662,False,"{'a': 0.25, 'e': 0.03621424652392737}",20,15,10.641961910440667,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
663,False,"{'a': 0.25, 'e': 0.036033175291307735}",20,0,-7.652977124945011,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
664,False,"{'a': 0.25, 'e': 0.03585300941485119}",30,13,27.71262316856616,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
665,False,"{'a': 0.25, 'e': 0.035673744367776934}",25,17,17.88000845195208,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
666,False,"{'a': 0.25, 'e': 0.03549537564593805}",30,21,17.73016869874489,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
667,False,"{'a': 0.25, 'e': 0.035317898767708356}",20,12,-26.222688974189428,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
668,False,"{'a': 0.25, 'e': 0.03514130927386981}",20,5,22.612952473570164,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
669,False,"{'a': 0.25, 'e': 0.03496560272750046}",20,12,14.57988514489088,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
670,False,"{'a': 0.25, 'e': 0.03479077471386296}",20,9,18.98176499546904,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
671,False,"{'a': 0.25, 'e': 0.03461682084029365}",30,18,24.231849419454328,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
672,False,"{'a': 0.25, 'e': 0.034443736736092176}",25,10,26.476907005361575,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
673,False,"{'a': 0.25, 'e': 0.034271518052411715}",20,0,16.616399589088253,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
674,False,"{'a': 0.25, 'e': 0.034100160462149656}",20,10,5.030354861009639,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
675,False,"{'a': 0.25, 'e': 0.03392965965983891}",35,18,33.338042030467555,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
676,False,"{'a': 0.25, 'e': 0.033760011361539714}",20,13,15.297013815596367,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
677,False,"{'a': 0.25, 'e': 0.03359121130473201}",35,0,42.3245895220122,"{0: 34, 1: 1, 2: 0, 3: 0, 4: 0}",0
678,False,"{'a': 0.25, 'e': 0.033423255248208356}",25,4,36.916669460806,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
679,False,"{'a': 0.25, 'e': 0.03325613897196732}",25,0,33.461791807608634,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
680,False,"{'a': 0.25, 'e': 0.03308985827710748}",25,0,30.0358717302123,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
681,False,"{'a': 0.25, 'e': 0.032924408985721944}",20,6,15.54827010588269,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
682,False,"{'a': 0.25, 'e': 0.03275978694079333}",25,17,11.400349340516138,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
683,False,"{'a': 0.25, 'e': 0.032595988006089364}",20,8,19.90625867053491,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
684,False,"{'a': 0.25, 'e': 0.032433008066058915}",20,4,33.28908510751279,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
685,False,"{'a': 0.25, 'e': 0.03227084302572862}",25,0,21.39037725081748,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
686,False,"{'a': 0.25, 'e': 0.032109488810599975}",20,10,17.13258778674922,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
687,False,"{'a': 0.25, 'e': 0.031948941366546975}",30,0,43.80128300536549,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
688,False,"{'a': 0.25, 'e': 0.03178919665971424}",20,8,19.861245320570454,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
689,False,"{'a': 0.25, 'e': 0.03163025067641567}",30,3,40.65315150132058,"{0: 27, 1: 0, 2: 0, 3: 0, 4: 0}",1
690,False,"{'a': 0.25, 'e': 0.03147209942303359}",30,4,33.91530531212736,"{0: 25, 1: 0, 2: 1, 3: 0, 4: 0}",1
691,False,"{'a': 0.25, 'e': 0.03131473892591842}",20,9,20.410870113456024,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
692,False,"{'a': 0.25, 'e': 0.031158165231288826}",20,14,9.67544396056158,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
693,False,"{'a': 0.25, 'e': 0.03100237440513238}",20,2,3.061205693402634,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 0}",1
694,False,"{'a': 0.25, 'e': 0.030847362533106718}",25,0,33.71770095170052,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
695,False,"{'a': 0.25, 'e': 0.030693125720441184}",20,8,20.649678444740058,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
696,False,"{'a': 0.25, 'e': 0.030539660091838977}",20,12,13.300376664093903,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
697,False,"{'a': 0.25, 'e': 0.03038696179137978}",20,8,10.662731100529706,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
698,False,"{'a': 0.25, 'e': 0.030235026982422884}",35,17,34.65251531562348,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
699,False,"{'a': 0.25, 'e': 0.030083851847510768}",25,0,35.87063721120755,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
700,False,"{'a': 0.25, 'e': 0.029933432588273214}",30,0,45.44429822456421,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
701,False,"{'a': 0.25, 'e': 0.029783765425331846}",20,10,22.338619259846354,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
702,False,"{'a': 0.25, 'e': 0.029634846598205186}",25,0,33.101198570787936,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
703,False,"{'a': 0.25, 'e': 0.02948667236521416}",20,11,7.1930317056730555,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
704,False,"{'a': 0.25, 'e': 0.029339239003388088}",25,12,23.08307807544956,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
705,False,"{'a': 0.25, 'e': 0.029192542808371146}",30,16,26.792023603123155,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
706,False,"{'a': 0.25, 'e': 0.02904658009432929}",20,10,18.392453212802153,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
707,False,"{'a': 0.25, 'e': 0.028901347193857643}",30,3,25.40007049787245,"{0: 25, 1: 1, 2: 1, 3: 0, 4: 0}",1
708,False,"{'a': 0.25, 'e': 0.028756840457888354}",25,11,24.250501712434087,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
709,False,"{'a': 0.25, 'e': 0.02861305625559891}",25,17,16.39977159778557,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
710,False,"{'a': 0.25, 'e': 0.028469990974320916}",25,0,43.27802786326422,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
711,False,"{'a': 0.25, 'e': 0.02832764101944931}",20,0,31.957441602389025,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
712,False,"{'a': 0.25, 'e': 0.028186002814352063}",20,10,18.38884618662499,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
713,False,"{'a': 0.25, 'e': 0.0280450728002803}",20,12,18.45743074890303,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
714,False,"{'a': 0.25, 'e': 0.0279048474362789}",30,13,29.32264023642645,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
715,False,"{'a': 0.25, 'e': 0.027765323199097504}",25,13,-14.74131399513109,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
716,False,"{'a': 0.25, 'e': 0.027626496583102015}",25,19,3.672837595228451,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
717,False,"{'a': 0.25, 'e': 0.027488364100186506}",20,13,1.322514589084359,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
718,False,"{'a': 0.25, 'e': 0.027350922279685573}",25,17,17.185943307427962,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
719,False,"{'a': 0.25, 'e': 0.027214167668287145}",35,21,-18.167655603855113,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
720,False,"{'a': 0.25, 'e': 0.02707809682994571}",20,0,27.135868089478798,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
721,False,"{'a': 0.25, 'e': 0.02694270634579598}",30,2,41.73052649095266,"{0: 28, 1: 0, 2: 0, 3: 0, 4: 0}",1
722,False,"{'a': 0.25, 'e': 0.026807992814067}",20,15,8.654246831802343,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
723,False,"{'a': 0.25, 'e': 0.026673952849996664}",25,0,34.37949437828836,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
724,False,"{'a': 0.25, 'e': 0.02654058308574668}",20,10,18.582966502776873,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
725,False,"{'a': 0.25, 'e': 0.026407880170317945}",25,17,14.686483618153687,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
726,False,"{'a': 0.25, 'e': 0.026275840769466357}",25,0,35.5908015547796,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
727,False,"{'a': 0.25, 'e': 0.026144461565619025}",25,5,29.97034838688564,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
728,False,"{'a': 0.25, 'e': 0.02601373925779093}",25,5,34.58991290025505,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
729,False,"{'a': 0.25, 'e': 0.025883670561501974}",25,14,20.86351625444288,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
730,False,"{'a': 0.25, 'e': 0.025754252208694463}",20,4,28.13041334361212,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
731,False,"{'a': 0.25, 'e': 0.02562548094765099}",20,6,28.24407258222722,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
732,False,"{'a': 0.25, 'e': 0.025497353542912736}",30,16,24.448675065830038,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
733,False,"{'a': 0.25, 'e': 0.02536986677519817}",20,16,7.683579060597125,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
734,False,"{'a': 0.25, 'e': 0.02524301744132218}",20,0,34.588242403313515,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
735,False,"{'a': 0.25, 'e': 0.025116802354115567}",25,10,26.401360162675243,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
736,False,"{'a': 0.25, 'e': 0.024991218342344988}",20,5,27.141090026285823,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
737,False,"{'a': 0.25, 'e': 0.024866262250633264}",20,13,12.801695292035173,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
738,False,"{'a': 0.25, 'e': 0.024741930939380097}",30,12,26.536327743918456,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
739,False,"{'a': 0.25, 'e': 0.024618221284683196}",20,3,25.154361932026546,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
740,False,"{'a': 0.25, 'e': 0.02449513017825978}",20,16,9.325716453362077,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
741,False,"{'a': 0.25, 'e': 0.02437265452736848}",20,13,13.949797048167138,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
742,False,"{'a': 0.25, 'e': 0.024250791254731636}",20,0,32.761768793629585,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
743,False,"{'a': 0.25, 'e': 0.024129537298457977}",20,14,11.284008769800632,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
744,False,"{'a': 0.25, 'e': 0.024008889611965685}",25,14,16.91360680058656,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
745,False,"{'a': 0.25, 'e': 0.023888845163905856}",20,11,11.386201785454544,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
746,False,"{'a': 0.25, 'e': 0.023769400938086327}",20,9,17.22492577723968,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
747,False,"{'a': 0.25, 'e': 0.023650553933395897}",20,4,31.793732697652054,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
748,False,"{'a': 0.25, 'e': 0.023532301163728918}",25,12,22.963156653452486,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
749,False,"{'a': 0.25, 'e': 0.023414639657910272}",35,18,-11.726936600640506,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
750,False,"{'a': 0.25, 'e': 0.023297566459620722}",20,3,18.716232656590133,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
751,False,"{'a': 0.25, 'e': 0.023181078627322618}",20,6,23.023079312405528,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
752,False,"{'a': 0.25, 'e': 0.023065173234186005}",30,18,20.411543471535335,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
753,False,"{'a': 0.25, 'e': 0.022949847368015076}",25,0,36.43344281379762,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
754,False,"{'a': 0.25, 'e': 0.022835098131175}",20,4,24.703010712138394,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
755,False,"{'a': 0.25, 'e': 0.022720922640519125}",30,23,14.516655136441406,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
756,False,"{'a': 0.25, 'e': 0.02260731802731653}",30,21,21.032977723212383,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
757,False,"{'a': 0.25, 'e': 0.022494281437179946}",25,7,28.306178523959325,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
758,False,"{'a': 0.25, 'e': 0.022381810029994047}",20,13,11.612151202540828,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
759,False,"{'a': 0.25, 'e': 0.022269900979844076}",25,8,21.359806773442873,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
760,False,"{'a': 0.25, 'e': 0.022158551474944856}",20,0,30.481411552400825,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
761,False,"{'a': 0.25, 'e': 0.022047758717570132}",20,1,34.57538597687218,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
762,False,"{'a': 0.25, 'e': 0.021937519923982282}",25,6,30.605524870539778,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
763,False,"{'a': 0.25, 'e': 0.021827832324362372}",20,12,13.924943605627986,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
764,False,"{'a': 0.25, 'e': 0.02171869316274056}",30,3,45.1244474319036,"{0: 27, 1: 0, 2: 0, 3: 0, 4: 0}",1
765,False,"{'a': 0.25, 'e': 0.021610099696926857}",30,3,40.112588939027226,"{0: 27, 1: 0, 2: 0, 3: 0, 4: 0}",1
766,False,"{'a': 0.25, 'e': 0.021502049198442223}",30,10,30.694319533832914,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
767,False,"{'a': 0.25, 'e': 0.021394538952450012}",35,22,22.71468643730408,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
768,False,"{'a': 0.25, 'e': 0.02128756625768776}",25,13,21.531615231464034,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
769,False,"{'a': 0.25, 'e': 0.021181128426399323}",20,13,12.186937144723561,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
770,False,"{'a': 0.25, 'e': 0.021075222784267326}",20,10,17.607676585609216,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
771,False,"{'a': 0.25, 'e': 0.020969846670345987}",20,10,16.43806900824108,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
772,False,"{'a': 0.25, 'e': 0.020864997436994256}",20,9,20.43211468481,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
773,False,"{'a': 0.25, 'e': 0.020760672449809284}",30,16,20.13080963177522,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
774,False,"{'a': 0.25, 'e': 0.020656869087560238}",20,4,-27.014941066224633,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 1}",1
775,False,"{'a': 0.25, 'e': 0.020553584742122436}",20,12,12.148482955982193,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
776,False,"{'a': 0.25, 'e': 0.020450816818411825}",20,0,27.589510015570312,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
777,False,"{'a': 0.25, 'e': 0.020348562734319765}",20,16,8.044912927109573,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
778,False,"{'a': 0.25, 'e': 0.020246819920648168}",20,15,10.315411116882746,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
779,False,"{'a': 0.25, 'e': 0.020145585821044927}",30,18,23.328163109183706,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
780,False,"{'a': 0.25, 'e': 0.020044857891939702}",25,3,32.254814871828586,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
781,False,"{'a': 0.25, 'e': 0.019944633602480003}",25,9,26.882263240126502,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
782,False,"{'a': 0.25, 'e': 0.019844910434467605}",30,12,31.38690037722336,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
783,False,"{'a': 0.25, 'e': 0.019745685882295267}",20,0,25.094358254109572,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
784,False,"{'a': 0.25, 'e': 0.01964695745288379}",20,2,26.18277440737767,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
785,False,"{'a': 0.25, 'e': 0.01954872266561937}",25,14,18.49444230055296,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
786,False,"{'a': 0.25, 'e': 0.019450979052291272}",35,1,17.475597588832045,"{0: 31, 1: 1, 2: 1, 3: 1, 4: 0}",1
787,False,"{'a': 0.25, 'e': 0.019353724157029815}",20,11,16.62777229228993,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
788,False,"{'a': 0.25, 'e': 0.019256955536244666}",35,7,52.96712199686965,"{0: 28, 1: 0, 2: 0, 3: 0, 4: 0}",1
789,False,"{'a': 0.25, 'e': 0.019160670758563442}",25,0,36.21211598601082,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
790,False,"{'a': 0.25, 'e': 0.019064867404770626}",25,9,22.87396135865948,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
791,False,"{'a': 0.25, 'e': 0.018969543067746772}",20,9,22.203213564270868,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
792,False,"{'a': 0.25, 'e': 0.018874695352408037}",25,13,22.84057793666136,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
793,False,"{'a': 0.25, 'e': 0.018780321875645996}",25,0,35.409884013883165,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",1
794,False,"{'a': 0.25, 'e': 0.018686420266267767}",20,9,17.9032870232396,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
795,False,"{'a': 0.25, 'e': 0.018592988164936427}",20,8,21.14619554519668,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
796,False,"{'a': 0.25, 'e': 0.018500023224111744}",20,3,22.141546345660537,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
797,False,"{'a': 0.25, 'e': 0.018407523107991184}",25,17,14.798875672299797,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
798,False,"{'a': 0.25, 'e': 0.01831548549245123}",25,0,39.335181212092806,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
799,False,"{'a': 0.25, 'e': 0.018223908064988973}",25,7,29.294934345531985,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
800,False,"{'a': 0.25, 'e': 0.018132788524664028}",20,12,13.65235106122936,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
801,False,"{'a': 0.25, 'e': 0.018042124582040707}",25,12,20.045710308659412,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
802,False,"{'a': 0.25, 'e': 0.017951913959130504}",35,18,32.809011674540855,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
803,False,"{'a': 0.25, 'e': 0.01786215438933485}",25,18,-7.871219795362281,"{0: 6, 1: 0, 2: 0, 3: 1, 4: 0}",1
804,False,"{'a': 0.25, 'e': 0.017772843617388175}",20,15,9.403714997071477,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
805,False,"{'a': 0.25, 'e': 0.017683979399301233}",20,9,20.40657266964897,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
806,False,"{'a': 0.25, 'e': 0.017595559502304726}",30,16,24.752243236328436,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
807,False,"{'a': 0.25, 'e': 0.0175075817047932}",20,5,25.368560784922007,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
808,False,"{'a': 0.25, 'e': 0.017420043796269234}",30,16,23.4719739983581,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
809,False,"{'a': 0.25, 'e': 0.017332943577287888}",20,16,5.112239693652897,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
810,False,"{'a': 0.25, 'e': 0.01724627885940145}",20,14,8.321530387585522,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
811,False,"{'a': 0.25, 'e': 0.017160047465104442}",25,7,33.05930935453061,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
812,False,"{'a': 0.25, 'e': 0.01707424722777892}",20,10,16.845425896409658,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
813,False,"{'a': 0.25, 'e': 0.016988875991640028}",20,8,23.114146044424015,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
814,False,"{'a': 0.25, 'e': 0.016903931611681827}",20,6,26.197654546403882,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
815,False,"{'a': 0.25, 'e': 0.01681941195362342}",25,7,30.685002230694863,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
816,False,"{'a': 0.25, 'e': 0.016735314893855303}",20,10,19.9057306058135,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
817,False,"{'a': 0.25, 'e': 0.016651638319386028}",20,6,22.678276275205366,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
818,False,"{'a': 0.25, 'e': 0.0165683801277891}",25,5,29.76731703215591,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
819,False,"{'a': 0.25, 'e': 0.016485538227150154}",20,14,12.64985348943969,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
820,False,"{'a': 0.25, 'e': 0.0164031105360144}",20,0,-4.8539578112170165,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
