trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
501,False,"{'a': 0.25, 'e': 0.0811640021330769}",30,18,21.10337260763919,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
502,False,"{'a': 0.25, 'e': 0.08075818212241151}",20,15,9.368694063689315,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
503,False,"{'a': 0.25, 'e': 0.08035439121179945}",20,0,31.938396304420056,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
504,False,"{'a': 0.25, 'e': 0.07995261925574046}",20,6,-17.425009169238898,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
505,False,"{'a': 0.25, 'e': 0.07955285615946175}",25,13,22.444409890643144,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
506,False,"{'a': 0.25, 'e': 0.07915509187866444}",20,0,17.264680903058167,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
507,False,"{'a': 0.25, 'e': 0.07875931641927113}",25,8,33.1033143829709,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
508,False,"{'a': 0.25, 'e': 0.07836551983717477}",25,0,19.812915535544846,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
509,False,"{'a': 0.25, 'e': 0.07797369223798889}",25,2,-7.773111351487023,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 1}",1
510,False,"{'a': 0.25, 'e': 0.07758382377679894}",20,0,23.888657603932508,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",1
511,False,"{'a': 0.25, 'e': 0.07719590465791494}",25,0,35.857416410212494,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
512,False,"{'a': 0.25, 'e': 0.07680992513462537}",25,0,22.56695433580855,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
513,False,"{'a': 0.25, 'e': 0.07642587550895225}",20,3,27.6813642866616,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
514,False,"{'a': 0.25, 'e': 0.07604374613140748}",20,11,17.147194640834083,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
515,False,"{'a': 0.25, 'e': 0.07566352740075044}",20,9,19.980052925532938,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
516,False,"{'a': 0.25, 'e': 0.07528520976374668}",30,12,-6.26093917377877,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
517,False,"{'a': 0.25, 'e': 0.07490878371492794}",25,6,-10.589905581191728,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 1}",1
518,False,"{'a': 0.25, 'e': 0.0745342397963533}",25,2,26.487475628341983,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 0}",1
519,False,"{'a': 0.25, 'e': 0.07416156859737154}",25,11,27.063600131877678,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
520,False,"{'a': 0.25, 'e': 0.07379076075438468}",25,1,38.03376010458823,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
521,False,"{'a': 0.25, 'e': 0.07342180695061275}",20,8,-21.658797015672192,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
522,False,"{'a': 0.25, 'e': 0.07305469791585968}",20,16,7.666800425441823,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
523,False,"{'a': 0.25, 'e': 0.07268942442628039}",20,16,6.993237847538737,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
524,False,"{'a': 0.25, 'e': 0.07232597730414898}",25,5,26.214667546316953,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",1
525,False,"{'a': 0.25, 'e': 0.07196434741762824}",20,0,-13.59358518302048,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
526,False,"{'a': 0.25, 'e': 0.0716045256805401}",20,7,20.76230347354338,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
527,False,"{'a': 0.25, 'e': 0.0712465030521374}",20,0,25.534547434929223,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
528,False,"{'a': 0.25, 'e': 0.0708902705368767}",25,18,14.937916038406323,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
529,False,"{'a': 0.25, 'e': 0.07053581918419231}",30,12,19.505432869054705,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
530,False,"{'a': 0.25, 'e': 0.07018314008827135}",30,3,45.32361874223617,"{0: 27, 1: 0, 2: 0, 3: 0, 4: 0}",1
531,False,"{'a': 0.25, 'e': 0.06983222438783}",25,18,14.347623052010297,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
532,False,"{'a': 0.25, 'e': 0.06948306326589085}",20,1,25.286203918231877,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
533,False,"{'a': 0.25, 'e': 0.0691356479495614}",25,15,19.7496330904031,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
534,False,"{'a': 0.25, 'e': 0.06878996970981359}",25,11,26.86341446347691,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
535,False,"{'a': 0.25, 'e': 0.06844601986126451}",20,7,11.403111311603237,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
